,x,y,z,r,g,b,inlinear_idx
815,1.1249965391025145,1.53758656862939,3.242584032674665,96.0,45.5,4.5,1512.0
816,0.17992960177677045,0.5340832781516394,1.4305669638839515,3.0,80.0,38.5,1513.0
817,0.05675503109402047,-0.004172665265666379,1.1727690694786923,62.5,76.0,67.5,1515.0
818,0.025008523289777863,0.0649369047983966,1.1259772081015769,25.5,4.5,2.0,1516.0
819,0.43419753198494276,0.7498996565395682,1.936570556321884,109.0,56.5,11.0,1518.0
820,0.280902149173136,-0.06637416522460135,1.65013871507425,0.5,13.5,111.0,1524.0
821,0.12679170127820868,0.21177451094938393,1.3756412158624942,46.5,22.5,16.5,1525.0
822,0.4155741613987304,0.7652947839591713,1.889888669534833,32.0,104.5,60.0,1527.0
823,0.016669193357003138,0.11623241408199317,1.1223564248364608,25.5,126.5,112.5,1528.0
824,0.030451429141423764,-0.016193877865399636,1.1158955543898128,27.0,16.0,16.5,1529.0
825,0.011520751546572523,0.006673675522245434,1.0840777977629914,4.5,0.5,0.0,1533.0
826,0.2983134666964609,-0.24108023610189475,1.6494744441710771,114.5,63.5,45.5,1534.0
827,0.03578832277668697,0.47855116139255194,1.1222546755037621,84.0,35.5,122.0,1536.0
828,0.7442156163296391,1.0229665405330257,2.5502335917382086,88.5,38.5,124.0,1537.0
829,0.9093428360522186,1.0757717983003807,2.9079268855848,25.5,101.5,61.0,1544.0
830,0.10431380833781122,0.3926383697337069,1.3060540476749918,115.0,61.0,14.0,1546.0
831,0.12226789376900592,-0.06749136038281348,1.2954435853522464,37.0,16.5,15.5,1550.0
832,-0.02501127020479173,0.08924135944731151,1.034196787876216,10.0,120.0,110.0,1552.0
833,-0.024381041329591145,0.4158956320380642,1.0061199979552409,125.0,69.0,31.0,1553.0
834,0.09802160016444732,0.4889934461855272,1.2597718540016143,108.5,56.5,9.0,1555.0
835,0.13294449041750175,0.13946811830123393,1.3701985240114614,126.5,124.5,89.0,1556.0
836,0.049726276071013195,0.07602187829632769,1.1792290395891578,10.5,124.0,1.0,1557.0
837,0.10786600100720269,0.5144443040808864,1.2735016092802682,96.5,44.0,126.0,1558.0
838,0.1269626256644655,0.036082825587167126,1.3306194979843229,28.0,15.0,20.5,1559.0
839,0.10018100300725241,0.0997653209055048,1.2901987461666466,32.0,13.5,9.5,1560.0
840,0.24964739929121402,0.6246959224085297,1.5606520581402208,107.0,54.0,11.0,1564.0
841,0.06548008147377925,0.0020202429728442516,1.1930417656257382,112.5,103.0,86.5,1565.0
842,0.39815839069821085,0.7513603865386532,1.854644709222485,126.5,74.0,31.0,1566.0
843,0.5791074708975439,0.9048082619091797,2.2148676709425557,103.0,49.0,7.5,1567.0
844,1.0327521677774978,1.4364787574379725,3.0686479852165487,23.0,101.0,60.0,1568.0
845,0.14629328546926587,0.0636477644341963,1.3799451840152892,34.5,13.5,12.5,1570.0
846,0.06077349760436008,-0.06983270769020157,1.164814561887373,5.0,5.5,3.5,1571.0
847,0.15766312146881728,0.0032462783226828752,1.3907567008578088,81.5,58.5,57.5,1572.0
848,0.020253294123396142,-0.028077918252598397,1.0925867454253193,31.5,16.0,17.5,1574.0
849,-0.019685370991468845,0.1067192127088516,1.0481902669793,11.0,118.0,107.0,1576.0
850,0.055842309248168805,0.3952571933117499,1.1952537928079172,100.5,46.0,123.5,1578.0
851,0.15768330514981313,0.5425774883461675,1.3771170551228762,38.0,117.0,80.5,1580.0
852,0.7437299348376827,0.8704019319062746,2.5987461766913293,34.0,108.0,60.0,1586.0
853,-0.020570463402324945,0.0917140779786465,1.0431731855262618,29.0,8.0,2.5,1587.0
854,-0.02013564417683033,0.3497936322051863,1.0382062462400923,92.5,44.5,3.0,1588.0
855,0.12301911111800846,0.02517242627896401,1.3201325254974874,14.5,127.5,4.0,1590.0
856,0.08248372674100397,-0.062201988051688105,1.2124092619223676,36.0,77.0,62.0,1591.0
857,0.13218812445927805,0.1333121732805,1.3675032170567638,24.0,13.5,8.0,1593.0
858,0.031197022853504695,0.14495624174713095,1.1600602473895565,82.0,89.5,69.0,1595.0
859,0.17972292695061623,-0.11217386145353728,1.40927551755404,32.5,19.5,18.0,1597.0
860,0.026353191130519454,0.3232824056486268,1.151974136985011,84.5,30.0,109.5,1598.0
861,-0.03358777523340785,0.29954800808726634,1.0241177291049681,88.5,41.5,126.5,1602.0
862,0.11032656220881853,-0.35734173900879307,1.3661325621802851,95.5,43.5,25.0,1603.0
863,0.024457465527132276,0.32527714755160814,1.1470448031387175,8.5,86.0,40.5,1605.0
864,0.1388145260636108,-0.0027700798514031675,1.3478419434505875,66.0,41.5,39.0,1606.0
865,0.7982694188200662,0.9743838768033208,2.6881503228695927,118.5,63.0,15.0,1608.0
866,0.14930814165255538,-0.09504504973004363,1.3464568763176403,18.5,8.5,15.0,1609.0
867,0.07665180705517666,0.13892535354345578,1.25102394947862,2.5,113.0,97.0,1610.0
868,0.26198807013644515,0.6732911463964929,1.5713492466025583,105.5,52.0,6.5,1611.0
869,0.10247231585585004,0.35116174834129293,1.3155567961765213,94.0,40.5,123.0,1612.0
